id,match_key,match_date,bet_name,bet_category,probability,sportium,sportbet,best_edge,outcome,is_custom,custom_stat,custom_type,custom_scope,custom_direction,custom_line,custom_esito,created_at
"1683","SerieA|Cagliari|Atalanta","2026-04-27","UNDER 1,5 GOL OSPITE","Gol","0.6698676501504661","1.94","1.9","0.2995432412919041","LOSS","0","","","","","","","2026-04-27 22:08:02"
"1684","SerieA|Cagliari|Atalanta","2026-04-27","UNDER 2,5 GOL OSPITE","Gol","0.8837951079645736","1.28","1.27","0.13125773819465425","WIN","0","","","","","","","2026-04-27 22:08:02"
"1673","Ligue1|Marseille|Nice","2026-04-26","UNDER 6,5 TIRI IN PORTA CASA","Tiri in Porta","0.6664558315528271","","1.75","0.16629770521744724","WIN","0","","","","","","","2026-04-27 01:04:33"
"1674","Ligue1|Marseille|Nice","2026-04-26","UNDER 6,5 CORNER CASA","Corner","0.6782690191954274","1.62","1.7","0.15305733263222643","LOSS","0","","","","","","","2026-04-27 01:04:33"
"1675","Ligue1|Marseille|Nice","2026-04-26","UNDER 7,5 CORNER CASA","Corner","0.7897904864381607","1.35","1.23","0.06621715669151707","WIN","0","","","","","","","2026-04-27 01:04:33"
"1676","Ligue1|Marseille|Nice","2026-04-26","OVER 2,5 CORNER OSPITE","Corner","0.7525610419735287","1.43","1.36","0.07616229002214592","LOSS","0","","","","","","","2026-04-27 01:04:33"
"1677","Ligue1|Marseille|Nice","2026-04-26","UNDER 4,5 CARTELLINI TOTALI","Cartellini","0.757325713922868","1.38","1.32","0.04510948521355762","LOSS","0","","","","","","","2026-04-27 01:04:33"
"1678","Ligue1|Marseille|Nice","2026-04-26","UNDER 5,5 CARTELLINI TOTALI","Cartellini","0.8793869592484108","1.19","","0.04647048150560873","WIN","0","","","","","","","2026-04-27 01:04:33"
"1679","Ligue1|Marseille|Nice","2026-04-26","UNDER 2,5 CARTELLINI OSPITE","Cartellini","0.7745358214168498","1.36","1.31","0.05336871712691593","WIN","0","","","","","","","2026-04-27 01:04:33"
"1670","Ligue1|Marseille|Nice","2026-04-26","UNDER 27,5 TIRI TOTALI","Tiri","0.6933338250682296","","1.72","0.19253417911735493","LOSS","0","","","","","","","2026-04-27 01:04:32"
"1671","Ligue1|Marseille|Nice","2026-04-26","UNDER 17,5 TIRI CASA","Tiri","0.7161367727826397","","1.75","0.2532393523696195","LOSS","0","","","","","","","2026-04-27 01:04:32"
"1672","Ligue1|Marseille|Nice","2026-04-26","UNDER 10,5 TIRI IN PORTA TOTALI","Tiri in Porta","0.6528502262227622","","1.62","0.05761736648087479","WIN","0","","","","","","","2026-04-27 01:04:32"
"1659","Ligue1|Rennes|Nantes","2026-04-26","UNDER 3,5 GOL CASA","Gol","0.9167706463850804","1.15","1.15","0.05428624334284238","WIN","0","","","","","","","2026-04-27 01:03:27"
"1660","Ligue1|Rennes|Nantes","2026-04-26","UNDER 4,5 GOL CASA","Gol","0.9727915413582566","1.04","1.04","0.011703203012586982","WIN","0","","","","","","","2026-04-27 01:03:27"
"1661","Ligue1|Rennes|Nantes","2026-04-26","UNDER 9,5 TIRI IN PORTA TOTALI","Tiri in Porta","0.6529736580605251","","1.62","0.05781732605805079","LOSS","0","","","","","","","2026-04-27 01:03:27"
"1662","Ligue1|Rennes|Nantes","2026-04-26","UNDER 7,5 CORNER CASA","Corner","0.699285654148096","1.5","1.33","0.048928481222143994","WIN","0","","","","","","","2026-04-27 01:03:27"
"1663","Ligue1|Rennes|Nantes","2026-04-26","OVER 1,5 CORNER OSPITE","Corner","0.8534990387828432","1.18","","0.007128865763754932","WIN","0","","","","","","","2026-04-27 01:03:27"
"1664","Ligue1|Rennes|Nantes","2026-04-26","OVER 2,5 CORNER OSPITE","Corner","0.6843367266709272","1.55","1.43","0.06072192633993723","WIN","0","","","","","","","2026-04-27 01:03:27"
"1665","Ligue1|Rennes|Nantes","2026-04-26","UNDER 5,5 CARTELLINI TOTALI","Cartellini","0.7825933336183705","1.42","1.35","0.11128253373808604","WIN","0","","","","","","","2026-04-27 01:03:27"
"1666","Ligue1|Rennes|Nantes","2026-04-26","UNDER 6,5 CARTELLINI TOTALI","Cartellini","0.8876312253454317","1.23","","0.09178640717488108","WIN","0","","","","","","","2026-04-27 01:03:27"
"1667","Ligue1|Rennes|Nantes","2026-04-26","UNDER 2,5 CARTELLINI CASA","Cartellini","0.7211251895632882","1.4","1.39","0.009575265388603428","LOSS","0","","","","","","","2026-04-27 01:03:27"
"1668","Ligue1|Rennes|Nantes","2026-04-26","UNDER 3,5 CARTELLINI CASA","Cartellini","0.8818367189709657","1.15","1.09","0.014112226816610509","WIN","0","","","","","","","2026-04-27 01:03:27"
"1669","Ligue1|Rennes|Nantes","2026-04-26","UNDER 3,5 CARTELLINI OSPITE","Cartellini","0.822411223621711","1.27","1.24","0.04446225399957293","WIN","0","","","","","","","2026-04-27 01:03:27"
"1655","Ligue1|Rennes|Nantes","2026-04-26","UNDER 3,5 GOL","Gol","0.7766301726766038","1.47","1.48","0.14941265556137373","WIN","0","","","","","","","2026-04-27 01:03:26"
"1656","Ligue1|Rennes|Nantes","2026-04-26","UNDER 4,5 GOL","Gol","0.9028731496461828","1.18","1.19","0.0744190480789575","WIN","0","","","","","","","2026-04-27 01:03:26"
"1657","Ligue1|Rennes|Nantes","2026-04-26","UNDER 5,5 GOL","Gol","0.96372226454552","1.06","1.06","0.021545600418251043","WIN","0","","","","","","","2026-04-27 01:03:26"
"1658","Ligue1|Rennes|Nantes","2026-04-26","UNDER 2,5 GOL CASA","Gol","0.7828640483093312","1.48","1.47","0.15863879149781024","WIN","0","","","","","","","2026-04-27 01:03:26"
"1651","Ligue1|Paris FC|Lille","2026-04-26","UNDER 6,5 CORNER OSPITE","Corner","0.7283754742746352","1.4","1.23","0.01972566398448916","WIN","0","","","","","","","2026-04-27 01:02:32"
"1652","Ligue1|Paris FC|Lille","2026-04-26","OVER 2,5 CARTELLINI TOTALI","Cartellini","0.8347848668024052","1.27","1.31","0.09356817551115082","WIN","0","","","","","","","2026-04-27 01:02:32"
"1653","Ligue1|Paris FC|Lille","2026-04-26","OVER 3,5 CARTELLINI TOTALI","Cartellini","0.706095587935746","1.64","1.77","0.24978919064627036","WIN","0","","","","","","","2026-04-27 01:02:32"
"1654","Ligue1|Paris FC|Lille","2026-04-26","OVER 1,5 CARTELLINI OSPITE","Cartellini","0.7261253403170987","1.61","","0.1690617979105291","WIN","0","","","","","","","2026-04-27 01:02:32"
"1648","Ligue1|Paris FC|Lille","2026-04-26","OVER 0,5 GOL CASA","Gol","0.7415839887881879","1.44","1.44","0.06788094385499055","LOSS","0","","","","","","","2026-04-27 01:02:31"
"1649","Ligue1|Paris FC|Lille","2026-04-26","OVER 8,5 TIRI CASA","Tiri","0.7591136181529627","","1.36","0.03239452068802939","LOSS","0","","","","","","","2026-04-27 01:02:31"
"1650","Ligue1|Paris FC|Lille","2026-04-26","OVER 9,5 TIRI CASA","Tiri","0.6723172629187724","","1.58","0.06226127541166049","LOSS","0","","","","","","","2026-04-27 01:02:31"
"1644","Ligue1|Le Havre|Metz","2026-04-26","UNDER 10,5 CORNER TOTALI","Corner","0.7021513134450774","1.43","1.37","0.004076378226460564","WIN","0","","","","","","","2026-04-27 01:01:20"
"1645","Ligue1|Le Havre|Metz","2026-04-26","OVER 2,5 CARTELLINI TOTALI","Cartellini","0.8775539649787059","1.22","1.21","0.0706158372740211","WIN","0","","","","","","","2026-04-27 01:01:20"
"1646","Ligue1|Le Havre|Metz","2026-04-26","OVER 3,5 CARTELLINI TOTALI","Cartellini","0.7386604061343978","1.55","1.54","0.1449236295083165","WIN","0","","","","","","","2026-04-27 01:01:20"
"1647","Ligue1|Le Havre|Metz","2026-04-26","OVER 1,5 CARTELLINI OSPITE","Cartellini","0.8234821022038521","1.34","","0.10346601695316182","LOSS","0","","","","","","","2026-04-27 01:01:20"
"1642","Ligue1|Le Havre|Metz","2026-04-26","UNDER 3,5 GOL","Gol","0.7272729552274222","1.4","1.39","0.018182137318391023","LOSS","0","","","","","","","2026-04-27 01:01:19"
"1643","Ligue1|Le Havre|Metz","2026-04-26","UNDER 4,5 GOL","Gol","0.8717061552761969","1.15","1.14","0.002462078567626369","LOSS","0","","","","","","","2026-04-27 01:01:19"
"1635","Ligue1|Lorient|Strasbourg","2026-04-26","OVER 3,5 TIRI IN PORTA CASA","Tiri in Porta","0.7206550881632368","","1.4","0.00891712342853146","WIN","0","","","","","","","2026-04-27 01:00:29"
"1636","Ligue1|Lorient|Strasbourg","2026-04-26","UNDER 9,5 CORNER TOTALI","Corner","0.6873721809365635","1.65","1.6","0.13416409854532962","LOSS","0","","","","","","","2026-04-27 01:00:29"
"1637","Ligue1|Lorient|Strasbourg","2026-04-26","UNDER 10,5 CORNER TOTALI","Corner","0.791782736404581","1.39","1.37","0.10057800360236756","LOSS","0","","","","","","","2026-04-27 01:00:29"
"1638","Ligue1|Lorient|Strasbourg","2026-04-26","UNDER 11,5 CORNER TOTALI","Corner","0.8700159716039249","1.21","1.22","0.061419485356788206","LOSS","0","","","","","","","2026-04-27 01:00:29"
"1639","Ligue1|Lorient|Strasbourg","2026-04-26","UNDER 4,5 CORNER CASA","Corner","0.6794847836651374","1.88","","0.2774313932904582","LOSS","0","","","","","","","2026-04-27 01:00:29"
"1640","Ligue1|Lorient|Strasbourg","2026-04-26","UNDER 5,5 CORNER CASA","Corner","0.8243337507604082","1.44","","0.18704060109498769","LOSS","0","","","","","","","2026-04-27 01:00:29"
"1641","Ligue1|Lorient|Strasbourg","2026-04-26","OVER 2,5 CARTELLINI TOTALI","Cartellini","0.811383867133148","1.28","1.32","0.07102670461575555","WIN","0","","","","","","","2026-04-27 01:00:29"
"1625","Bundes|Dortmund|Freiburg","2026-04-26","UNDER 2,5 GOL CASA","Gol","0.6685569036303467","1.56","1.55","0.042948769663340824","LOSS","0","","","","","","","2026-04-27 00:59:23"
"1626","Bundes|Dortmund|Freiburg","2026-04-26","UNDER 3,5 GOL CASA","Gol","0.8516698560761259","1.19","1.19","0.01348712873058977","LOSS","0","","","","","","","2026-04-27 00:59:23"
"1627","Bundes|Dortmund|Freiburg","2026-04-26","UNDER 17,5 TIRI CASA","Tiri","0.6984017947101097","1.67","","0.1663309971658831","WIN","0","","","","","","","2026-04-27 00:59:23"
"1628","Bundes|Dortmund|Freiburg","2026-04-26","OVER 6,5 TIRI OSPITE","Tiri","0.8519119100684895","","1.22","0.03933253028355721","WIN","0","","","","","","","2026-04-27 00:59:23"
"1629","Bundes|Dortmund|Freiburg","2026-04-26","OVER 7,5 TIRI OSPITE","Tiri","0.7649734594892946","1.27","1.43","0.09391204706969124","LOSS","0","","","","","","","2026-04-27 00:59:23"
"1630","Bundes|Dortmund|Freiburg","2026-04-26","OVER 8,5 TIRI OSPITE","Tiri","0.6613396809476556","1.58","1.67","0.10443726718258484","LOSS","0","","","","","","","2026-04-27 00:59:23"
"1631","Bundes|Dortmund|Freiburg","2026-04-26","OVER 1,5 CORNER OSPITE","Corner","0.894307999689659","1.18","1.16","0.05528343963379756","LOSS","0","","","","","","","2026-04-27 00:59:23"
"1632","Bundes|Dortmund|Freiburg","2026-04-26","OVER 2,5 CORNER OSPITE","Corner","0.7343183788049473","1.59","1.62","0.1895957736640148","LOSS","0","","","","","","","2026-04-27 00:59:23"
"1633","Bundes|Dortmund|Freiburg","2026-04-26","OVER 2,5 CARTELLINI TOTALI","Cartellini","0.744958193598759","1.42","1.45","0.08018938071820059","LOSS","0","","","","","","","2026-04-27 00:59:23"
"1634","Bundes|Dortmund|Freiburg","2026-04-26","OVER 0,5 CARTELLINI CASA","Cartellini","0.8800954247337119","1.17","","0.02971164693844286","WIN","0","","","","","","","2026-04-27 00:59:23"
